time,M,FC,FN,Ap(t)
50.69202768110724,1.5703943975901602,0.16534367570421768,0.1362012679293807,0.0647859554977663
50.702028081123245,1.5703998441356688,0.16534843012313366,0.13621076248205377,0.06498516946177262
50.71202848113924,1.5704051769236749,0.16535314588713002,0.13622022384102647,0.06518393798906957
50.722028881155246,1.5704103971865675,0.16535782323123746,0.13622965201275541,0.06538225971721098
50.73202928117124,1.5704155061512965,0.16536246239052138,0.13623904700483033,0.06558013328681316
50.74202968118725,1.5704205050392908,0.1653670636000618,0.13624840882596753,0.06577755734156429
50.752030081203245,1.570425395066378,0.16537162709493347,0.1362577374860031,0.0659745305282338
50.76203048121925,1.570430177442703,0.165376153110186,0.136267032995886,0.06617105149668147
50.772030881235246,1.5704348533726495,0.1653806418808239,0.1362762953676715,0.06636711889986684
50.78203128125125,1.5704394240547588,0.16538509364178708,0.13628552461451407,0.06656273139385838
50.79203168126725,1.570443890681653,0.16538950862793067,0.1362947207506606,0.0667578876378427
50.80203208128325,1.5704482544399556,0.16539388707400593,0.13630388379144323,0.06695258629413373
50.81203248129925,1.5704525165102157,0.16539822921464017,0.13631301375327234,0.06714682602818191
50.82203288131525,1.5704566780668303,0.1654025352843176,0.13632211065362962,0.06734060550858335
50.83203328133125,1.5704607402779687,0.16540680551735962,0.1363311745110605,0.06753392340708894
50.84203368134725,1.5704647043054978,0.16541104014790559,0.13634020534516736,0.06772677839861344
50.85203408136325,1.5704685713049062,0.1654152394098935,0.13634920317660199,0.06791916916124456
50.862034481379254,1.5704723424252325,0.16541940353704063,0.13635816802705833,0.06811109437625223
50.87203488139525,1.5704760188089895,0.16542353276282443,0.13636709991926504,0.06830255272809686
50.882035281411255,1.5704796015920934,0.16542762732046348,0.1363759988769782,0.06849354290443987
50.89203568142725,1.570483091903792,0.1654316874428984,0.1363848649249737,0.06868406359615074
50.902036081443256,1.5704864908665925,0.165435713362773,0.13639369808903967,0.06887411349731805
50.91203648145925,1.570489799596192,0.16543970531241517,0.13640249839596907,0.06906369130525629
50.92203688147526,1.5704930192014077,0.16544366352381842,0.13641126587355196,0.06925279572051697
50.932037281491255,1.570496150784107,0.1654475882286229,0.13642000055056774,0.0694414254468954
50.94203768150726,1.5704991954391412,0.16545147965809695,0.13642870245677755,0.06962957919144161
50.952038081523256,1.570502154254275,0.1654553380431184,0.13643737162291641,0.06981725566446725
50.96203848153926,1.5705050283101225,0.16545916361415625,0.13644600808068552,0.07000445357955637
