time,M,FC,FN,vs
2375.694649189211,2.8151086181623888,8.440737841169582,6.862110636117214,2.5084995912266446
2375.7946531734333,2.772388443605147,8.43273349568122,6.871926520281608,2.623124219668065
2375.8946571576557,2.729773164516819,8.423585948656083,6.880754255640016,2.727525315177515
2375.994661141878,2.6872647412979624,8.413298632216291,6.8885959924042615,2.820659653464575
2376.0946651261006,2.644865186206918,8.40187503611923,6.895453923531002,2.901596592915772
2376.194669110323,2.60257657099163,8.389318710387366,6.90133028509283,2.969527373998309
2376.2946730945455,2.56040103480675,8.375633268215187,6.906227356762163,3.02377320076137
2376.394677078768,2.5183407924043415,8.360822389160564,6.910147462414969,3.063792023680887
2376.4946810629904,2.4763981425862793,8.34488982262722,6.913092970861318,3.089183956070423
2376.5946850472133,2.4345754769060295,8.32783939164447,6.915066296709678,3.0996952699348963
2376.6946890314357,2.392875288608752,8.30967499695039,6.916069901371665,3.095220931338558
2376.794693015658,2.351300181794554,8.29040062138251,6.916106294214068,3.075805649953211
2376.8946969998806,2.3098528807963716,8.27002033458233,6.915178033864438,3.041643432298112
2376.994700984103,2.2685362397573248,8.248538298016827,6.913287729676763,2.9930756431367103
2377.0947049683255,2.227353252396404,8.225958770321302,6.910438043363334,2.9305875944012025
2377.194708952548,2.1863070619501155,8.202286112966876,6.906631690798813,2.854803695730048
2377.2947129367703,2.145400971277972,8.177524796255764,6.90187144400232,2.7664812150765266
2377.394716920993,2.104638453119797,8.15167940564692,6.896160133303123,2.6665027117352333
2377.494720905215,2.0640231604928774,8.124754648414283,6.889500649695341,2.555867217399241
2377.5947248894377,2.0235589372170164,8.096755360639573,6.881895947386852,2.4356802533708954
2377.69472887366,1.9832498285554954,8.067686514541089,6.873349046547336,2.307142783678921
2377.794732857883,1.9431000919596508,8.037553226139522,6.86386303626019,2.171539214486792
2377.8947368421054,1.9031142079057615,8.006360763262425,6.853441077683066,2.0302245597116264
2377.994740826328,1.8632968908087284,7.974114553885568,6.842086407420644,1.8846109010913736
2378.0947448105503,1.8236531000027627,7.940820194813998,6.829802341114548,1.7361532780099438
2378.1947487947727,1.784188050772052,7.906483460700231,6.816592277253561,1.5863351480665207
2378.294752778995,1.7449072254170095,7.87111031339948,6.802459701207908,1.4366535636774562
2378.3947567632176,1.7058163843388783,7.834706911660337,6.787408189490841,1.288604212832433
2378.49476074744,1.6669215771236465,7.79727962114878,6.771441414250522,1.1436664734846116
2378.5947647316625,1.6282291536036781,7.758835024802756,6.754563147994916,1.003288630918244
2378.694768715885,1.5897457748723252,7.719379933513711,6.736777268552046,0.8688734058086969
2378.7947727001074,1.551478424222895,7.678921397130454,6.718087764267704,0.7417639375852286
2378.8947766843303,1.5134344179784567,7.637466715779432,6.698498739442171,0.6232303631567669
2378.9947806685527,1.4756214161744874,7.595023451495381,6.678014420007794,0.5144571251154426
2379.094784652775,1.4380474330459199,7.5515994401507704,6.656639159446846,0.4165311362322397
2379.1947886369976,1.4007208472681325,7.507202803677054,6.6343774449517685,0.3304309185213942
2379.29479262122,1.3636504118858523,7.461841962561853,6.611233903826162,0.2570168253928781
2379.3947966054425,1.3268452638564248,7.415525648607421,6.58721331012605,0.19702244460108354
2379.494800589665,1.2903149331197323,7.3682629179311325,6.562320591539592,0.15104726789487818
2379.5948045738874,1.2540693510922285,7.320063164185182,6.53656083650253,0.1195507006173024
2379.69480855811,1.218118858465294,7.27093613196812,6.509939301545647,0.1028474711137669
2379.7948125423322,1.1824742121684468,7.220891930395744,6.482461418869252,0.10110448582008598
2379.8948165265547,1.1471465913355545,7.169941046792695,6.454132804138288,0.11433916145576167
2379.994820510777,1.1121476020869672,7.11809436045916,6.424959264489986,0.14241925098802496
2380.094824495,1.0774892809120755,7.065363156458726,6.39494680674391,0.18506416510590518
2380.1948284792225,1.043184096406472,7.011759139365846,6.364101645802958,0.24184777599825225
2380.294832463445,1.0092449490799753,6.957294446895815,6.332430213228412,0.3122026754221283
2380.3948364476673,0.975685168919493,6.901981663336489,6.299939165973915,0.3954258445090922
2380.4948404318898,0.9425185103443988,6.845833832679212,6.266635395255046,0.4906856786567826
2380.594844416112,0.9097591441519528,6.788864471336277,6.232526035530129,0.5970302973087807
2380.6948484003346,0.8774216460036331,6.731087580313816,6.197618473562418,0.7133970555877334
2380.794852384557,0.8455209809565597,6.672517656690781,6.16192035752893,0.8386231627370719
2380.8948563687795,0.8140724834972208,6.613169704234514,6.125439606135465,0.9714573012669228
2380.994860353002,0.7830918324891979,6.5530592429616,6.0881844176909405,1.1105721307003005
2381.0948643372244,0.7525950204045548,6.492202317429446,6.050163279087077,1.2545775509763355
2381.1948683214473,0.7225983161724917,6.43061550351932,6.011384974621385,1.4020345929771232
2381.2948723056697,0.6931182209531842,6.368315913448291,5.971858594594103,1.5514697973735454
2381.394876289892,0.6641714161284314,6.3053211987161495,5.931593543596596,1.7013899381200304
2381.4948802741146,0.6357747028098378,6.241649550678101,5.890599548404916,1.850296943460849
2381.594884258337,0.6079449321877897,6.177319698400718,5.848886665375445,1.9967028653603298
2381.6948882425595,0.5806989261035306,6.112350903443363,5.806465287232067,2.1391447477714927
